timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2022-11-03 13:33:01.68		start_recording
MSG	2022-11-03 13:33:01.68		image_on
MSG	2022-11-03 13:33:01.69		Recording_Amir.avi
2022-11-03 13:33:03.624	1049472776	True	7	60.0889	4.7123	66.5926	0.6153	24.8319	16.8853	3.7513	24.2058	13.5461	25.077	0.3408	0.5641	103.2924	5.6732	105.8255	-6.4336	24.5868	0.5707	0.5367
2022-11-03 13:33:03.657	1049472809	True	7	58.9727	-8.2213	67.0023	0.1795	24.9668	28.5475	-13.1683	25.6468	4.5868	25.0556	0.3407	0.5639	89.398	-3.2742	104.6424	-6.6488	24.878	0.5706	0.5366
2022-11-03 13:33:03.689	1049472841	True	7	65.5194	-3.0916	68.623	-0.0399	25.228650000000002	40.4563	7.4754	29.3785	5.269	25.3785	0.3406	0.564	90.5826	-13.6585	103.5778	-7.4298	25.0788	0.5706	0.5366
2022-11-03 13:33:03.723	1049472875	True	7	67.7859	19.7415	71.0992	-1.0399	25.14025	51.1173	37.3457	33.8126	11.7501	25.3304	0.3406	0.564	84.4545	2.1373	102.4255	-7.6573	24.9501	0.5705	0.5366
2022-11-03 13:33:03.756	1049472908	True	7	297.992	279.3135	71.4543	-1.2939	25.88715	289.2401	275.1549	289.2401	275.1549	25.7737	0.3435	0.5663	306.744	283.4721	306.744	283.4721	26.0006	0.5731	0.5397
2022-11-03 13:33:03.790	1049472942	False	7	298.4809	263.2261	298.4809	263.2261	25.7155	307.4837	308.401	307.4837	308.401	25.9356	0.3435	0.5663	289.478	218.0511	289.478	218.0511	25.4954	0.5731	0.5391
2022-11-03 13:33:03.823	1049472975	False	7	268.4891	233.6644	283.4659	248.4264	25.3853	290.2999	267.5991	298.8809	287.974	25.5826	0.3434	0.566	246.6782	199.7297	268.0508	208.8787	25.188	0.5732	0.539
2022-11-03 13:33:03.856	1049473008	False	7	273.8047	244.3652	281.5911	247.1012	25.291150000000002	280.4204	262.7906	292.6866	279.5093	25.5214	0.3434	0.566	267.1889	225.9398	267.726	214.5744	25.0609	0.5734	0.539
2022-11-03 13:33:03.890	1049473042	False	7	286.9569	233.1116	281.5421	245.4845	25.376800000000003	288.2961	247.9449	291.5449	271.4899	25.5146	0.3435	0.5658	285.6178	218.2783	272.2108	215.5188	25.239	0.5738	0.5389
2022-11-03 13:33:03.923	1049473075	False	7	266.8764	243.1929	280.9234	245.1396	25.087000000000003	272.4019	248.5928	287.6237	266.7462	25.315	0.3437	0.5657	261.3509	237.793	270.0108	220.0557	24.859	0.5739	0.5391
2022-11-03 13:33:03.957	1049473109	False	7	286.0922	225.4558	280.2717	242.7547	24.845350000000003	304.0753	245.813	304.0753	245.813	24.9826	0.3439	0.5657	268.109	205.0986	268.109	205.0986	24.7081	0.5742	0.5391
2022-11-03 13:33:03.990	1049473142	False	7	284.0145	238.7657	284.0145	238.7657	24.8932	291.3793	243.0225	291.3793	243.0225	25.1373	0.344	0.5659	276.6497	234.509	276.6497	234.509	24.6491	0.5744	0.5395
2022-11-03 13:33:04.023	1049473175	False	7	88.4534	495.3443	186.1093	367.2187	25.396549999999998	96.865	506.7919	193.9981	375.0754	25.7549	0.3418	0.5695	80.0418	483.8967	178.2204	359.3619	25.0382	0.5714	0.543
2022-11-03 13:33:04.056	1049473208	False	7	82.2719	510.6855	168.6376	391.3864	25.03745	79.3455	509.6952	155.4531	420.3633	25.4715	0.3415	0.5702	85.1983	511.6759	146.9144	410.5607	24.6034	0.5715	0.5436
2022-11-03 13:33:04.089	1049473241	False	7	84.9571	500.4853	157.0987	406.7907	25.19025	91.4861	503.1257	139.0497	441.5766	25.5973	0.3412	0.5711	78.4282	497.8449	129.3974	432.928	24.7832	0.5712	0.5445
2022-11-03 13:33:04.123	1049473275	False	7	98.8494	513.3044	149.347	418.5515	25.3065	118.6356	508.2843	134.5936	455.5166	25.7185	0.3411	0.5702	79.0633	518.3244	118.8796	450.6807	24.8945	0.5712	0.5436
2022-11-03 13:33:04.156	1049473308	False	7	79.3424	494.4466	136.2376	435.7027	24.96635	90.8603	499.7209	90.8603	499.7209	25.5164	0.3408	0.5699	67.8246	489.1722	67.8246	489.1722	24.4163	0.5711	0.5431
2022-11-03 13:33:04.189	1049473341	False	7	73.8456	490.9904	73.8456	490.9904	25.13935	69.8659	471.4744	69.8659	471.4744	25.3879	0.3404	0.5713	77.8253	510.5065	77.8253	510.5065	24.8908	0.5709	0.5447
